date,course,root,traffic,startpoint,endpoint
20221001,남해제2지선,가락IC -> 가락JC,1143,가락IC,가락JC
20221001,남해제2지선,가락2JC -> 가락2IC,1631,가락2JC,가락2IC
20221001,남해제2지선,가락2JC -> 가락JC,35269,가락2JC,가락JC
20221001,남해제2지선,가락2JC -> 서부산IC,31631,가락2JC,서부산IC
20221001,남해제2지선,가락JC -> 가락2JC,33262,가락JC,가락2JC
20221001,남해제2지선,가락JC -> 장유IC,36412,가락JC,장유IC
20221001,중앙선,가산IC -> 가산JC,33623,가산IC,가산JC
20221001,중앙선,가산IC -> 다부IC,36280,가산IC,다부IC
20221001,중앙선,가산JC -> 가산IC,29957,가산JC,가산IC
20221001,중앙선,가산JC -> 군위IC,37529,가산JC,군위IC
20221001,상주영천선A,가산JC -> 군위입구JC,7981,가산JC,군위입구JC
20221001,광주대구선,가조IC -> 거창IC,19651,가조IC,거창IC
20221001,광주대구선,가조IC -> 해인사IC,16760,가조IC,해인사IC
20221001,중부내륙선,감곡IC -> 여주JC,45271,감곡IC,여주JC
20221001,중부내륙선,감곡IC -> 충주JC,54488,감곡IC,충주JC
20221001,동해선,강릉IC -> 강릉JC,27842,강릉IC,강릉JC
20221001,동해선,강릉IC -> 남강릉IC,17318,강릉IC,남강릉IC
20221001,동해선,강릉JC -> 강릉IC,31409,강릉JC,강릉IC
20221001,영동선,강릉JC -> 대관령IC,23611,강릉JC,대관령IC
20221001,동해선,강릉JC -> 북강릉IC,17762,강릉JC,북강릉IC
20221001,남해선A,강진무위사IC -> 서영암IC,7584,강진무위사IC,서영암IC
20221001,남해선A,강진무위사IC -> 장흥IC,6977,강진무위사IC,장흥IC
20221001,서울춘천선,강촌IC -> 남춘천IC,45733,강촌IC,남춘천IC
20221001,서울춘천선,강촌IC -> 설악IC,33774,강촌IC,설악IC
20221001,광주대구선,거창IC -> 가조IC,16357,거창IC,가조IC
20221001,광주대구선,거창IC -> 함양JC,12635,거창IC,함양JC
20221001,경부선,건천IC -> 경주IC,40288,건천IC,경주IC
20221001,경부선,건천IC -> 북안JC,41002,건천IC,북안JC
20221001,중부선-대전통영선A,경기광주IC -> 경기광주JC,76466,경기광주IC,경기광주JC
20221001,중부선-대전통영선A,경기광주IC -> 산곡JC,73748,경기광주IC,산곡JC
20221001,중부선-대전통영선A,경기광주JC -> 경기광주IC,67702,경기광주JC,경기광주IC
20221001,제2영동선,경기광주JC -> 경기광주JC,30061,경기광주JC,경기광주JC
20221001,중부선-대전통영선A,경기광주JC -> 곤지암IC,59669,경기광주JC,곤지암IC
20221001,제2영동선,경기광주JC -> 초월IC,16797,경기광주JC,초월IC
20221001,경부선,경산IC -> 동대구JC,42064,경산IC,동대구JC
20221001,경부선,경산IC -> 영천IC,31066,경산IC,영천IC
20221001,경부선,경주IC -> 건천IC,40088,경주IC,건천IC
20221001,경부선,경주IC -> 활천IC,34777,경주IC,활천IC
20221001,호남선지선,계룡IC -> 서대전JC,34535,계룡IC,서대전JC
20221001,호남선지선,계룡IC -> 양촌IC,42989,계룡IC,양촌IC
20221001,당진상주선,고덕IC -> 면천IC,16452,고덕IC,면천IC
20221001,당진상주선,고덕IC -> 예산수덕사IC,15215,고덕IC,예산수덕사IC
20221001,광주대구선,고령IC -> 동고령IC,23808,고령IC,동고령IC
20221001,광주대구선,고령IC -> 해인사IC,24081,고령IC,해인사IC
20221001,중부내륙선,고령JC -> 남성주IC,19939,고령JC,남성주IC
20221001,광주대구선,고령JC -> 동고령IC,36469,고령JC,동고령IC
20221001,광주대구선,고령JC -> 옥포JC,24973,고령JC,옥포JC
20221001,중부내륙선,고령JC -> 현풍JC,21025,고령JC,현풍JC
20221001,광주대구선,고서JC -> 담양JC,14170,고서JC,담양JC
20221001,호남선B,고서JC -> 동광주IC,31737,고서JC,동광주IC
20221001,호남선B,고서JC -> 창평IC,21224,고서JC,창평IC
20221001,중부선-대전통영선A,고성IC -> 동고성IC,25450,고성IC,동고성IC
20221001,중부선-대전통영선A,고성IC -> 연화산IC,13292,고성IC,연화산IC
20221001,서해안선,고창IC -> 고창JC,29219,고창IC,고창JC
20221001,서해안선,고창IC -> 선운산IC,21469,고창IC,선운산IC
20221001,서해안선,고창JC -> 고창IC,22000,고창JC,고창IC
20221001,고창-담양선,고창JC -> 남고창IC,15535,고창JC,남고창IC
20221001,서해안선,고창JC -> 영광IC,18159,고창JC,영광IC
20221001,남해선A,고흥IC -> 남순천IC,14339,고흥IC,남순천IC
20221001,남해선A,고흥IC -> 벌교IC,11265,고흥IC,벌교IC
20221001,호남선B,곡성IC -> 석곡IC,21826,곡성IC,석곡IC
20221001,호남선B,곡성IC -> 옥과IC,21859,곡성IC,옥과IC
20221001,남해선A,곤양IC -> 진교IC,34236,곤양IC,진교IC
20221001,남해선A,곤양IC -> 축동IC,29238,곤양IC,축동IC
20221001,중부선-대전통영선A,곤지암IC -> 경기광주JC,54438,곤지암IC,경기광주JC
20221001,중부선-대전통영선A,곤지암IC -> 곤지암JC,67713,곤지암IC,곤지암JC
20221001,중부선-대전통영선A,곤지암JC -> 곤지암IC,66461,곤지암JC,곤지암IC
20221001,중부선-대전통영선A,곤지암JC -> 신둔IC,63063,곤지암JC,신둔IC
20221001,당진상주선,공주IC -> 공주2JC,41864,공주IC,공주2JC
20221001,당진상주선,공주IC -> 서세종IC,31966,공주IC,서세종IC
20221001,당진상주선,공주2JC -> 공주IC,34567,공주2JC,공주IC
20221001,당진상주선,공주2JC -> 공주3JC,7956,공주2JC,공주3JC
20221001,당진상주선,공주2JC -> 공주JC,33908,공주2JC,공주JC
20221001,당진상주선,공주3JC -> 공주2JC,5779,공주3JC,공주2JC
20221001,당진상주선,공주3JC -> 북공주JC,7956,공주3JC,북공주JC
20221001,당진상주선,공주JC -> 공주2JC,28788,공주JC,공주2JC
20221001,호남선A,공주JC -> 남공주IC,42520,공주JC,남공주IC
20221001,호남선A,공주JC -> 북공주JC,31609,공주JC,북공주JC
20221001,당진상주선,공주JC -> 서공주JC,45473,공주JC,서공주JC
20221001,남해선A,광양IC -> 동광양IC,23141,광양IC,동광양IC
20221001,남해선A,광양IC -> 순천2JC,16558,광양IC,순천2JC
20221001,부산외곽순환선,광재IC -> 대감JC,32923,광재IC,대감JC
20221001,부산외곽순환선,광재IC -> 한림IC,31757,광재IC,한림IC
20221001,호남선A,광주TG -> 장성IC,30609,광주TG,장성IC
20221001,서해안선,광천IC -> 대천IC,37608,광천IC,대천IC
20221001,서해안선,광천IC -> 홍성IC,23091,광천IC,홍성IC
20221001,중부내륙선,괴산IC -> 연풍IC,41786,괴산IC,연풍IC
20221001,중부내륙선,괴산IC -> 충주IC,32737,괴산IC,충주IC
20221001,전주-광양선,구례화엄사IC -> 서남원IC,15046,구례화엄사IC,서남원IC
20221001,전주-광양선,구례화엄사IC -> 황전IC,20831,구례화엄사IC,황전IC
20221001,경부선,구미IC -> 남구미IC,54877,구미IC,남구미IC
20221001,경부선,구미IC -> 북구미IC,48025,구미IC,북구미IC
20221001,당진상주선,구병산IC -> 속리산IC,24182,구병산IC,속리산IC
20221001,당진상주선,구병산IC -> 화서IC,33638,구병산IC,화서IC
20221001,남해선A,군북IC -> 장지IC,51969,군북IC,장지IC
20221001,남해선A,군북IC -> 지수IC,57703,군북IC,지수IC
20221001,서해안선,군산IC -> 동군산IC,31006,군산IC,동군산IC
20221001,서해안선,군산IC -> 동서천JC,25355,군산IC,동서천JC
20221001,중앙선,군위IC -> 가산JC,32452,군위IC,가산JC
20221001,중앙선,군위IC -> 의성IC,34337,군위IC,의성IC
20221001,상주영천선A,군위입구JC -> 동군위JC,7981,군위입구JC,동군위JC
20221001,상주영천선A,군위출구JC -> 가산JC,9392,군위출구JC,가산JC
20221001,영동선,군자IC -> 서안산IC,59706,군자IC,서안산IC
20221001,영동선,군포IC -> 동군포JC,77145,군포IC,동군포JC
20221001,영동선,군포IC -> 둔대JC,78018,군포IC,둔대JC
20221001,동해선,근덕IC -> 삼척IC,9304,근덕IC,삼척IC
20221001,경부선,금강IC -> 금강휴게소IC,21217,금강IC,금강휴게소IC
20221001,경부선,금강IC -> 옥천IC,20429,금강IC,옥천IC
20221001,경부선,금강휴게소IC -> 금강IC,20141,금강휴게소IC,금강IC
20221001,경부선,금강휴게소IC -> 청성JC,20897,금강휴게소IC,청성JC
20221001,수도권제2순환선,금곡IC -> 동안산당수IC,32405,금곡IC,동안산당수IC
20221001,수도권제2순환선,금곡IC -> 봉담IC,27156,금곡IC,봉담IC
20221001,중부선-대전통영선A,금산IC -> 무주IC,26005,금산IC,무주IC
20221001,중부선-대전통영선A,금산IC -> 추부IC,17722,금산IC,추부IC
20221001,호남선A,금산사IC -> 김제IC,27048,금산사IC,김제IC
20221001,호남선A,금산사IC -> 태인IC,31838,금산사IC,태인IC
20221001,평택-음성선,금왕꽃동네IC -> 대소JC,23444,금왕꽃동네IC,대소JC
20221001,평택-음성선,금왕꽃동네IC -> 음성IC,30855,금왕꽃동네IC,음성IC
20221001,부산외곽순환선,금정IC -> 기장철마IC,28975,금정IC,기장철마IC
20221001,부산외곽순환선,금정IC -> 노포JC,27796,금정IC,노포JC
20221001,경부선,금호JC -> 북대구IC,95467,금호JC,북대구IC
20221001,경부선지선,금호JC -> 서대구JC,66905,금호JC,서대구JC
20221001,중앙선,금호JC -> 칠곡IC,30532,금호JC,칠곡IC
20221001,경부선,금호JC -> 칠곡JC,70010,금호JC,칠곡JC
20221001,부산외곽순환선,기장일광IC -> 기장일광입구IC,20180,기장일광IC,기장일광입구IC
20221001,부산울산선,기장일광IC -> 장안IC,32558,기장일광IC,장안IC
20221001,부산울산선,기장일광IC -> 해운대송정IC,37208,기장일광IC,해운대송정IC
20221001,부산외곽순환선,기장일광입구IC -> 기장일광IC,16859,기장일광입구IC,기장일광IC
20221001,부산외곽순환선,기장철마IC -> 금정IC,26992,기장철마IC,금정IC
20221001,경부선,기흥IC -> 기흥동탄IC,97223,기흥IC,기흥동탄IC
20221001,경부선,기흥IC -> 수원신갈IC,105841,기흥IC,수원신갈IC
20221001,경부선,기흥동탄IC -> 기흥IC,93524,기흥동탄IC,기흥IC
20221001,경부선,기흥동탄IC -> 동탄JC,90926,기흥동탄IC,동탄JC
20221001,호남선A,김제IC -> 금산사IC,32420,김제IC,금산사IC
20221001,호남선A,김제IC -> 서전주IC,27126,김제IC,서전주IC
20221001,경부선,김천IC -> 동김천IC,20449,김천IC,동김천IC
20221001,경부선,김천IC -> 추풍령IC,19492,김천IC,추풍령IC
20221001,중부내륙선,김천JC -> 남김천IC,19602,김천JC,남김천IC
20221001,경부선,김천JC -> 동김천IC,26315,김천JC,동김천IC
20221001,경부선,김천JC -> 북구미IC,50247,김천JC,북구미IC
20221001,중부내륙선,김천JC -> 선산IC,41095,김천JC,선산IC
20221001,중앙선지선,김해JC -> 대동JC,18938,김해JC,대동JC
20221001,남해선A,김해JC -> 동김해IC,55337,김해JC,동김해IC
20221001,남해선A,김해JC -> 북부산IC,36395,김해JC,북부산IC
20221001,부산외곽순환선,김해가야휴게소IC -> 노포JC,22132,김해가야휴게소IC,노포JC
20221001,부산외곽순환선,김해가야휴게소IC -> 노포JC4,11313,김해가야휴게소IC,노포JC4
20221001,부산외곽순환선,김해가야휴게소IC -> 대감JC,35126,김해가야휴게소IC,대감JC
20221001,대구-부산선,김해부산IC -> 대동JC,31488,김해부산IC,대동JC
20221001,대구-부산선,김해부산IC -> 상동IC,32759,김해부산IC,상동IC
20221001,무안광주선,나주IC -> 문평IC,27015,나주IC,문평IC
20221001,무안광주선,나주IC -> 서광산IC,24769,나주IC,서광산IC
20221001,상주영천선,낙동JC -> 낙동강JC,16806,낙동JC,낙동강JC
20221001,상주영천선,낙동JC -> 도개IC,24104,낙동JC,도개IC
20221001,상주영천선,낙동강JC -> 낙동JC,24104,낙동강JC,낙동JC
20221001,당진상주선,낙동강JC -> 남상주IC,24212,낙동강JC,남상주IC
20221001,중부내륙선,낙동강JC -> 상주IC,37007,낙동강JC,상주IC
20221001,당진상주선,낙동강JC -> 상주JC,9566,낙동강JC,상주JC
20221001,중부내륙선,낙동강JC -> 선산IC,46162,낙동강JC,선산IC
20221001,동해선,남강릉IC -> 강릉IC,17011,남강릉IC,강릉IC
20221001,동해선,남강릉IC -> 옥계IC,19017,남강릉IC,옥계IC
20221001,동해선,남경주IC -> 동경주IC,15248,남경주IC,동경주IC
20221001,동해선,남경주IC -> 범서IC,16671,남경주IC,범서IC
20221001,고창-담양선,남고창IC -> 고창JC,14404,남고창IC,고창JC
20221001,고창-담양선,남고창IC -> 장성물류IC,18416,남고창IC,장성물류IC
20221001,호남선A,남공주IC -> 공주JC,29736,남공주IC,공주JC
20221001,호남선A,남공주IC -> 탄천IC,40916,남공주IC,탄천IC
20221001,수도권제2순환선,남광명IC -> 동시흥IC,29287,남광명IC,동시흥IC
20221001,경부선,남구미IC -> 구미IC,52521,남구미IC,구미IC
20221001,경부선,남구미IC -> 왜관IC,62015,남구미IC,왜관IC
20221001,수도권제2순환선,남군포IC -> 동시흥IC,45952,남군포IC,동시흥IC
20221001,수도권제2순환선,남군포IC -> 동안산당수IC,44334,남군포IC,동안산당수IC
20221001,중부내륙선,남김천IC -> 김천JC,17353,남김천IC,김천JC
20221001,중부내륙선,남김천IC -> 성주IC,20684,남김천IC,성주IC
20221001,호남선A,남논산하IC -> 논산JC,35786,남논산하IC,논산JC
20221001,중부내륙선지선C,남대구IC -> 남대구JC,39656,남대구IC,남대구JC
20221001,중부내륙선지선C,남대구JC -> 남대구IC,36532,남대구JC,남대구IC
20221001,중부내륙선지선A,남대구JC -> 서대구JC,30179,남대구JC,서대구JC
20221001,중부내륙선지선A,남대구JC -> 유천JC,72162,남대구JC,유천JC
20221001,중부선-대전통영선A,남대전IC -> 산내JC,27101,남대전IC,산내JC
20221001,중부선-대전통영선A,남대전IC -> 추부IC,36207,남대전IC,추부IC
20221001,대구-부산선,남밀양IC -> 밀양IC,32746,남밀양IC,밀양IC
20221001,대구-부산선,남밀양IC -> 삼랑진IC,32663,남밀양IC,삼랑진IC
20221001,수도권제2순환선,남봉담IC -> 청요서IC,21163,남봉담IC,청요서IC
20221001,수도권제2순환선,남봉담IC -> 화성JC,11654,남봉담IC,화성JC
20221001,수도권제2순환선,남비봉팔탄IC -> 청요동IC,14971,남비봉팔탄IC,청요동IC
20221001,수도권제2순환선,남비봉팔탄IC -> 팔탄JC,19817,남비봉팔탄IC,팔탄JC
20221001,당진상주선,남상주IC -> 낙동강JC,32513,남상주IC,낙동강JC
20221001,당진상주선,남상주IC -> 화서IC,24596,남상주IC,화서IC
20221001,중부내륙선,남성주IC -> 고령JC,21116,남성주IC,고령JC
20221001,중부내륙선,남성주IC -> 성주IC,19105,남성주IC,성주IC
20221001,당진상주선,남세종IC -> 서세종IC,33359,남세종IC,서세종IC
20221001,당진상주선,남세종IC -> 유성JC,35781,남세종IC,유성JC
20221001,남해선A,남순천IC -> 고흥IC,19031,남순천IC,고흥IC
20221001,중앙선,남안동IC -> 서안동IC,22508,남안동IC,서안동IC
20221001,중앙선,남안동IC -> 안동JC,26817,남안동IC,안동JC
20221001,평택시흥선,남안산IC -> 서시흥IC,34628,남안산IC,서시흥IC
20221001,평택시흥선,남안산IC -> 송산마도IC,38914,남안산IC,송산마도IC
20221001,평택-음성선,남안성IC -> 북진천IC,31282,남안성IC,북진천IC
20221001,평택-음성선,남안성IC -> 서안성IC,29953,남안성IC,서안성IC
20221001,중앙선지선,남양산IC -> 물금IC,50592,남양산IC,물금IC
20221001,중앙선지선,남양산IC -> 양산JC,55027,남양산IC,양산JC
20221001,동해선,남양양IC -> 북강릉IC,14374,남양양IC,북강릉IC
20221001,동해선,남양양IC -> 하조대IC,15504,남양양IC,하조대IC
20221001,서울춘천선,남양주IC -> 화도IC,50154,남양주IC,화도IC
20221001,중부내륙선,남양평IC -> 북여주IC,11633,남양평IC,북여주IC
20221001,중부내륙선,남양평IC -> 양평IC,6791,남양평IC,양평IC
20221001,중부내륙선,남여주IC -> 서여주IC,9552,남여주IC,서여주IC
20221001,중부내륙선,남여주IC -> 여주JC,15738,남여주IC,여주JC
20221001,광주대구선,남원IC -> 남원JC,10107,남원IC,남원JC
20221001,광주대구선,남원IC -> 동남원IC,10920,남원IC,동남원IC
20221001,광주대구선,남원JC -> 남원IC,10623,남원JC,남원IC
20221001,전주-광양선,남원JC -> 북남원IC,14162,남원JC,북남원IC
20221001,전주-광양선,남원JC -> 서남원IC,24782,남원JC,서남원IC
20221001,광주대구선,남원JC -> 순창IC,12430,남원JC,순창IC
20221001,중앙선,남원주IC -> 만종JC,29256,남원주IC,만종JC
20221001,중앙선,남원주IC -> 신림IC,32724,남원주IC,신림IC
20221001,중부선-대전통영선A,남이JC -> 서청주IC,38358,남이JC,서청주IC
20221001,경부선,남이JC -> 청주IC,46800,남이JC,청주IC
20221001,경부선,남이JC -> 청주JC,100125,남이JC,청주JC
20221001,중부선-대전통영선A,남이천IC -> 일죽IC,40439,남이천IC,일죽IC
20221001,중부선-대전통영선A,남이천IC -> 호법JC,44980,남이천IC,호법JC
20221001,중앙선,남제천IC -> 북단양IC,29568,남제천IC,북단양IC
20221001,중앙선,남제천IC -> 제천JC,22004,남제천IC,제천JC
20221001,중부내륙선,남지IC -> 영산IC,32747,남지IC,영산IC
20221001,중부내륙선,남지IC -> 칠서IC,37331,남지IC,칠서IC
20221001,부산신항제2배후선,남진례IC -> 대청IC,9769,남진례IC,대청IC
20221001,부산신항제2배후선,남진례IC -> 진례JC,8063,남진례IC,진례JC
20221001,호남선A,남천안IC -> 천안JC,39090,남천안IC,천안JC
20221001,경부선,남청주IC -> 신탄진IC,78533,남청주IC,신탄진IC
20221001,경부선,남청주IC -> 청주JC,70709,남청주IC,청주JC
20221001,서울춘천선,남춘천IC -> 강촌IC,29375,남춘천IC,강촌IC
20221001,서울춘천선,남춘천IC -> 동산JC,39786,남춘천IC,동산JC
20221001,대구외곽순환선,남칠곡IC -> 칠곡JC,6995,남칠곡IC,칠곡JC
20221001,동해선,남포항IC -> 동경주IC,14979,남포항IC,동경주IC
20221001,호남선A,남풍세IC -> 정안IC,41892,남풍세IC,정안IC
20221001,호남선A,내장산IC -> 백양사IC,27406,내장산IC,백양사IC
20221001,호남선A,내장산IC -> 정읍IC,23527,내장산IC,정읍IC
20221001,서울춘천선,내촌IC -> 동홍천IC,19783,내촌IC,동홍천IC
20221001,서울춘천선,내촌IC -> 인제IC,34499,내촌IC,인제IC
20221001,남해선A,냉정JC -> 서김해IC,34380,냉정JC,서김해IC
20221001,남해제2지선,냉정JC -> 장유IC,36478,냉정JC,장유IC
20221001,남해선A,냉정JC -> 진례JC,52906,냉정JC,진례JC
20221001,평택-음성선,노은JC -> 동충주IC,28841,노은JC,동충주IC
20221001,평택-음성선,노은JC -> 북충주2JC,16504,노은JC,북충주2JC
20221001,중부내륙선,노은JC -> 북충주JC,34090,노은JC,북충주JC
20221001,중부내륙선,노은JC -> 중앙탑IC,42981,노은JC,중앙탑IC
20221001,경부선,노포IC -> 노포JC,34824,노포IC,노포JC
20221001,경부선,노포IC -> 노포JC2,27484,노포IC,노포JC2
20221001,부산외곽순환선,노포JC -> 금정IC,30547,노포JC,금정IC
20221001,부산외곽순환선,노포JC -> 김해가야휴게소IC,21237,노포JC,김해가야휴게소IC
20221001,경부선,노포JC -> 노포IC,31047,노포JC,노포IC
20221001,경부선,노포JC -> 양산JC,41383,노포JC,양산JC
20221001,경부선,노포JC2 -> 노포IC,29508,노포JC2,노포IC
20221001,부산외곽순환선,노포JC2 -> 노포JC4,13779,노포JC2,노포JC4
20221001,경부선,노포JC2 -> 부산IC,38797,노포JC2,부산IC
20221001,부산외곽순환선,노포JC4 -> 김해가야휴게소IC,13779,노포JC4,김해가야휴게소IC
20221001,부산외곽순환선,노포JC4 -> 노포JC2,11313,노포JC4,노포JC2
20221001,호남선지선,논산IC -> 논산JC,39607,논산IC,논산JC
20221001,호남선지선,논산IC -> 양촌IC,32854,논산IC,양촌IC
20221001,호남선지선,논산JC -> 논산IC,30215,논산JC,논산IC
20221001,호남선A,논산JC -> 익산IC,74287,논산JC,익산IC
20221001,중앙선,다부IC -> 가산IC,34564,다부IC,가산IC
20221001,중앙선,다부IC -> 동명동호JC,36780,다부IC,동명동호JC
20221001,중부선-대전통영선A,단성IC -> 산청IC,22057,단성IC,산청IC
20221001,중부선-대전통영선A,단성IC -> 서진주IC,25697,단성IC,서진주IC
20221001,중앙선,단양IC -> 북단양IC,16035,단양IC,북단양IC
20221001,중앙선,단양IC -> 풍기IC,23660,단양IC,풍기IC
20221001,중부내륙선지선B,달성IC -> 달성JC,3402,달성IC,달성JC
20221001,중부내륙선지선B,달성JC -> 달성IC,3305,달성JC,달성IC
20221001,중부내륙선지선A,달성JC -> 북현풍JC,26479,달성JC,북현풍JC
20221001,중부내륙선지선A,달성JC -> 옥포JC,27707,달성JC,옥포JC
20221001,광주대구선,담양IC -> 담양JC,17609,담양IC,담양JC
20221001,광주대구선,담양IC -> 순창IC,13928,담양IC,순창IC
20221001,광주대구선,담양JC -> 고서JC,14248,담양JC,고서JC
20221001,광주대구선,담양JC -> 담양IC,18314,담양JC,담양IC
20221001,고창-담양선,담양JC -> 대덕JC,8676,담양JC,대덕JC
20221001,고창-담양선,담양JC -> 북광주IC,14027,담양JC,북광주IC
20221001,서해안선,당진IC -> 당진JC,69704,당진IC,당진JC
20221001,서해안선,당진IC -> 송악IC,50833,당진IC,송악IC
20221001,서해안선,당진JC -> 당진IC,46746,당진JC,당진IC
20221001,당진상주선,당진JC -> 면천IC,13915,당진JC,면천IC
20221001,서해안선,당진JC -> 서산IC,66245,당진JC,서산IC
20221001,부산외곽순환선,대감JC -> 광재IC,36225,대감JC,광재IC
20221001,부산외곽순환선,대감JC -> 김해가야휴게소IC,33864,대감JC,김해가야휴게소IC
20221001,중앙선지선,대감JC -> 대동IC,55104,대감JC,대동IC
20221001,중앙선지선,대감JC -> 대동JC,62791,대감JC,대동JC
20221001,영동선,대관령IC -> 강릉JC,31117,대관령IC,강릉JC
20221001,영동선,대관령IC -> 진부IC,23134,대관령IC,진부IC
20221001,대구-부산선,대구IC -> 동대구IC,36181,대구IC,동대구IC
20221001,대구-부산선,대구IC -> 수성IC,40277,대구IC,수성IC
20221001,고창-담양선,대덕JC -> 담양JC,7802,대덕JC,담양JC
20221001,호남선B,대덕JC -> 옥과IC,28120,대덕JC,옥과IC
20221001,호남선B,대덕JC -> 창평IC,17154,대덕JC,창평IC
20221001,중앙선지선,대동IC -> 대감JC,58196,대동IC,대감JC
20221001,중앙선지선,대동JC -> 김해JC,18739,대동JC,김해JC
20221001,대구-부산선,대동JC -> 김해부산IC,32759,대동JC,김해부산IC
20221001,중앙선지선,대동JC -> 대감JC,61739,대동JC,대감JC
20221001,중앙선지선,대동JC -> 물금IC,58871,대동JC,물금IC
20221001,중부선-대전통영선A,대소IC -> 대소JC,34867,대소IC,대소JC
20221001,중부선-대전통영선A,대소IC -> 삼성IC,32454,대소IC,삼성IC
20221001,평택-음성선,대소JC -> 금왕꽃동네IC,30914,대소JC,금왕꽃동네IC
20221001,중부선-대전통영선A,대소JC -> 대소IC,32302,대소JC,대소IC
20221001,평택-음성선,대소JC -> 북진천IC,25228,대소JC,북진천IC
20221001,중부선-대전통영선A,대소JC -> 진천IC,39573,대소JC,진천IC
20221001,제2영동선,대신IC -> 동여주IC,38721,대신IC,동여주IC
20221001,제2영동선,대신IC -> 흥천이포IC,29289,대신IC,흥천이포IC
20221001,경부선,대전IC -> 비룡JC,57104,대전IC,비룡JC
20221001,경부선,대전IC -> 회덕JC,53010,대전IC,회덕JC
20221001,서해안선,대천IC -> 광천IC,21693,대천IC,광천IC
20221001,서해안선,대천IC -> 무창포IC,29351,대천IC,무창포IC
20221001,부산신항제2배후선,대청IC -> 남진례IC,8773,대청IC,남진례IC
20221001,부산신항제2배후선,대청IC -> 진해IC,15112,대청IC,진해IC
20221001,중부선-대전통영선A,덕유산IC -> 무주IC,11309,덕유산IC,무주IC
20221001,중부선-대전통영선A,덕유산IC -> 장수JC,21237,덕유산IC,장수JC
20221001,영동선,덕평IC -> 덕평휴게소IC,74801,덕평IC,덕평휴게소IC
20221001,영동선,덕평IC -> 양지IC,57641,덕평IC,양지IC
20221001,영동선,덕평휴게소IC -> 덕평IC,57574,덕평휴게소IC,덕평IC
20221001,영동선,덕평휴게소IC -> 호법JC,74533,덕평휴게소IC,호법JC
20221001,상주영천선,도개IC -> 낙동JC,16999,도개IC,낙동JC
20221001,상주영천선,도개IC -> 서군위IC,23666,도개IC,서군위IC
20221001,경부선,도동JC -> 동대구JC,69668,도동JC,동대구JC
20221001,경부선,도동JC -> 북대구IC,77729,도동JC,북대구IC
20221001,새만금포항선,도동JC -> 청통와촌IC,29962,도동JC,청통와촌IC
20221001,새만금포항선,도동JC -> 팔공산IC,15444,도동JC,팔공산IC
20221001,수도권제2순환선,도척IC -> 포곡IC,8196,도척IC,포곡IC
20221001,동해선,동경주IC -> 남경주IC,14228,동경주IC,남경주IC
20221001,동해선,동경주IC -> 남포항IC,15374,동경주IC,남포항IC
20221001,광주대구선,동고령IC -> 고령IC,30096,동고령IC,고령IC
20221001,광주대구선,동고령IC -> 고령JC,29599,동고령IC,고령JC
20221001,중부선-대전통영선A,동고성IC -> 고성IC,19497,동고성IC,고성IC
20221001,중부선-대전통영선A,동고성IC -> 북통영IC,26316,동고성IC,북통영IC
20221001,제2영동선,동곤지암IC -> 초월IC,34116,동곤지암IC,초월IC
20221001,제2영동선,동곤지암IC -> 흥천이포IC,39279,동곤지암IC,흥천이포IC
20221001,무안광주선,동광산IC -> 서광산IC,33937,동광산IC,서광산IC
20221001,남해선A,동광양IC -> 광양IC,25556,동광양IC,광양IC
20221001,남해선A,동광양IC -> 옥곡IC,20785,동광양IC,옥곡IC
20221001,호남선B,동광주IC -> 고서JC,34159,동광주IC,고서JC
20221001,서해안선,동군산IC -> 군산IC,18927,동군산IC,군산IC
20221001,서해안선,동군산IC -> 서김제IC,31008,동군산IC,서김제IC
20221001,상주영천선,동군위IC -> 동군위JC,22902,동군위IC,동군위JC
20221001,상주영천선,동군위IC -> 신녕IC,28860,동군위IC,신녕IC
20221001,상주영천선A,동군위JC -> 군위출구JC,9598,동군위JC,군위출구JC
20221001,상주영천선,동군위JC -> 동군위IC,28909,동군위JC,동군위IC
20221001,상주영천선,동군위JC -> 서군위IC,16156,동군위JC,서군위IC
20221001,영동선(동군포),동군포IC -> 동군포JC,6715,동군포IC,동군포JC
20221001,영동선,동군포JC -> 군포IC,74381,동군포JC,군포IC
20221001,영동선(동군포),동군포JC -> 동군포IC,6133,동군포JC,동군포IC
20221001,영동선,동군포JC -> 부곡IC,82913,동군포JC,부곡IC
20221001,경부선,동김천IC -> 김천IC,21339,동김천IC,김천IC
20221001,경부선,동김천IC -> 김천JC,24220,동김천IC,김천JC
20221001,남해선A,동김해IC -> 김해JC,55333,동김해IC,김해JC
20221001,남해선A,동김해IC -> 서김해IC,45238,동김해IC,서김해IC
20221001,광주대구선,동남원IC -> 남원IC,10981,동남원IC,남원IC
20221001,광주대구선,동남원IC -> 지리산IC,10128,동남원IC,지리산IC
20221001,대구-부산선,동대구IC -> 대구IC,40277,동대구IC,대구IC
20221001,대구-부산선,동대구IC -> 동대구JC,48344,동대구IC,동대구JC
20221001,경부선,동대구JC -> 경산IC,44066,동대구JC,경산IC
20221001,경부선,동대구JC -> 도동JC,64431,동대구JC,도동JC
20221001,대구-부산선,동대구JC -> 동대구IC,51562,동대구JC,동대구IC
20221001,대구외곽순환선,동대구JC -> 상매JC,7903,동대구JC,상매JC
